조병욱	KT	3.49	4.13	0.85
이승민	삼성	5.47	6.49	0.84
장웅정	한화	5.87	7.04	0.83
김주온	SK	5.23	6.39	0.82
이형범	두산	4.56	5.61	0.81
신재웅	SK	5.12	6.52	0.79
최성영	NC	4.01	5.19	0.77
이교훈	두산	6.23	8.31	0.75
김정후	키움	9	12	0.75
김성훈	KT	9	12	0.75
정인욱	삼성	5.06	6.75	0.75
황동재	삼성	20.25	27	0.75
한승혁	롯데	3.86	5.14	0.75
남재현	KIA	4.6	6.32	0.73
오동욱	한화	4.5	6.3	0.71
김유영	롯데	6.14	8.59	0.71
이상화	KT	4.2	6	0.7
윤호솔	한화	6	9	0.67
김현수	KIA	5.29	8.63	0.61
