//2020타자
//선수	이름	장타율	OBP	OPS

강현우	KT	0.367	0.25	0.617
최정민	KIA	0.111	0.273	0.384
최정용	KIA	0.268	0.224	0.492
김민수	삼성	0.174	0.24	0.414
송준석	삼성	0.447	0.32	0.767
박한결	한화	0.15	0.227	0.377
장운호	한화	0.296	0.207	0.503
김민수	롯데	0.25	0.4	0.65
백동훈	두산	0.25	0.316	0.566
장승현	두산	0.4	0.318	0.718
김수환	키움	0.273	0.25	0.523
김은성	키움	0.5	0.667	1.167
모터	키움	0.2	0.135	0.335
박주홍	키움	0.333	0.28	0.613
변상권	키움	0.403	0.281	0.684
김성민	SK	0.714	0.375	1.089
류효승	SK	0.5	0.222	0.722
유서준	SK	0.417	0.28	0.697
채현우	SK	0.174	0.167	0.341
손호영	LG	0.433	0.387	0.82
전민수	LG	0.2	0.333	0.533
한석현	LG	0	0.333	0.333
이재율	NC	0.556	0.5	1.056
정주후	KT	0	0.5	0.5
김영환	KIA	0	0.059	0.059
